IL-12 p40	GO:0005515
LOC100049638	GO:0005886, GO:0007155
LOC100049641	GO:0002090, GO:0005886, GO:0045807, GO:0070528, GO:0072659, GO:1901890, GO:2000049
LOC100049642	GO:0005886, GO:0045661, GO:0072659
LOC100049643	GO:0005886, GO:0045661, GO:0072659
LOC100049644	GO:0007413
LOC100134850	GO:0005184, GO:0005576, GO:0007189, GO:0007218, GO:0016521, GO:0031175, GO:0032880, GO:0043005, GO:0043204, GO:0043547, GO:0045860, GO:0045944, GO:0051428, GO:0070374
LOC100137129	GO:0005515, GO:0005814, GO:0036064, GO:0060271
LOC100462937	GO:0005856, GO:0005886, GO:0014069, GO:0051015, GO:0051016
LOC100462941	GO:0003774, GO:0005524, GO:0016459, GO:0051015
LOC100462944	GO:0003774, GO:0005524, GO:0016459, GO:0051015
LOC100462945	GO:0003774, GO:0005524, GO:0016459, GO:0051015
LOC100653413	GO:0003774, GO:0005524, GO:0016459, GO:0051015
LOC100653418	GO:0005902, GO:0005929, GO:0009986, GO:0015485, GO:0016324, GO:0071914
LOC100653419	GO:0005902, GO:0005929, GO:0009986, GO:0015485, GO:0016324, GO:0071914
LOC100653420	GO:0005902, GO:0005929, GO:0009986, GO:0015485, GO:0016324, GO:0071914
LOC101061022	GO:0002088, GO:0005212, GO:0007601
LOC101061023	GO:0005922, GO:0005922, GO:0007154, GO:0007154
LOC101061026	GO:0000164, GO:0005979, GO:0008157, GO:2001069
LOC101061031	GO:0005829, GO:0005886, GO:0015248, GO:0015485, GO:0043231, GO:0097038
LOC101061032	GO:0005096, GO:0005096, GO:0005634, GO:0005829, GO:0006913, GO:0007165, GO:0031267, GO:0048471, GO:0090630
LOC101061036	GO:0005634, GO:0005740, GO:0005740, GO:0005741, GO:0043065, GO:0043065, GO:0097345
LOC101061038	GO:0001725, GO:0003779, GO:0005912, GO:0007507, GO:0030018, GO:0030036, GO:0031941, GO:0051371, GO:0061061
LOC101061040	GO:0005634
LOC101061042	GO:0000398, GO:0003729, GO:0008270, GO:0016607
LOC101061043	GO:0003729, GO:0005634, GO:0005737, GO:0005844
LOC101061045	GO:0000978, GO:0001227, GO:0005634, GO:0006357
LOC101061048	GO:0007186, GO:0007186, GO:0007194, GO:0016020, GO:0045028, GO:0045028
LOC101061050	GO:0005385, GO:0006882, GO:0016020, GO:0071578
LOC101061052	GO:0005737, GO:0005911, GO:0005925, GO:0005925, GO:0045216, GO:0098609, GO:1900026, GO:2001046
LOC101061060	GO:0005886, GO:0007156, GO:0007411, GO:0030424, GO:0070593, GO:0098632
LOC101061061	GO:0000978, GO:0000981, GO:0000981, GO:0005634, GO:0006357, GO:0030154
LOC101061062	GO:0003682
LOC101061066	GO:0005524, GO:0007269, GO:0007269, GO:0008021, GO:0030672
LOC101061069	GO:0005515
LOC101061071	GO:0001725, GO:0003779, GO:0005912, GO:0030018, GO:0030036, GO:0031941, GO:0051371, GO:0061061
LOC101061076	GO:0005515, GO:0005576
LOC101061077	GO:0005737, GO:0005868, GO:0007018, GO:0045505
LOC101061080	GO:0005515, GO:0008270
LOC101061082	GO:0005509, GO:0005886, GO:0007156
LOC101061083	GO:0005634, GO:0008270
LOC101061085	GO:0000159, GO:0000159, GO:0005515, GO:0005829, GO:0019888, GO:0019888, GO:0070262
LOC101061091	GO:0001518, GO:0001518, GO:0005248, GO:0005248, GO:0005509, GO:0005515, GO:0005886, GO:0019228, GO:0030424, GO:0035725, GO:0086010
LOC101061096	GO:0005219, GO:0005219, GO:0005509, GO:0005515, GO:0005790, GO:0006874, GO:0030018, GO:0033017, GO:0034704, GO:0042383, GO:0070588
LOC101061097	GO:0000978, GO:0000981, GO:0005634, GO:0006357, GO:0046983
LOC101061098	GO:0006869, GO:0008289, GO:0061817
LOC101061100	GO:0005737
LOC101061101	GO:0000978, GO:0000981, GO:0005737, GO:0005737, GO:0006357, GO:0006954, GO:0007249, GO:0033554, GO:0034097, GO:0038061, GO:0045087
LOC101061102	GO:0000902, GO:0005509, GO:0005509, GO:0005886, GO:0005912, GO:0007043, GO:0007156, GO:0007275, GO:0016339, GO:0016342, GO:0034332, GO:0045296
LOC101061104	GO:0007186, GO:0016020, GO:0070915
